Sex,Year,Age,People
1,2000,90,336303
1,2000,85,970357
1,2000,80,1902638
1,2000,75,2912655
1,2000,70,3792145
1,2000,65,4453623
1,2000,60,5123399
1,2000,55,6459082
1,2000,50,8507934
1,2000,45,9925006
1,2000,40,11320252
1,2000,35,11475182
1,2000,30,10205879
1,2000,25,9659493
1,2000,20,9731315
1,2000,15,10237419
1,2000,10,10563233
1,2000,5,10552146
1,2000,0,9735380
2,2000,90,1064581
2,2000,85,1981156
2,2000,80,3221898
2,2000,75,4355644
2,2000,70,5184855
2,2000,65,4804784
2,2000,60,5668961
2,2000,55,6921268
2,2000,50,8911133
2,2000,45,10261253
2,2000,40,11488578
2,2000,35,11635647
2,2000,30,10119296
2,2000,25,9518507
2,2000,20,9324244
2,2000,15,9692669
2,2000,10,10022524
2,2000,5,10069564
2,2000,0,9310714
